player name,playing span,matches played,innings bowled,overs bowled,maidens earned,runs conceded,wickets taken,best innings bowling,bowling average,economy rate,bowling strike rate,four wkts in an inns,five wkts in an inns,catches taken,stumpings made,href
AB Agarkar,2007-2007,3,2,8.0,0,75,1,1/35,75.00,9.37,48.0,0,0,0,0,/ci/content/player/26184.html
Arshdeep Singh,2022-2022,6,6,20.0,0,156,10,3/32,15.60,7.80,12.0,0,0,1,0,/ci/content/player/1125976.html
R Ashwin,2012-2022,24,24,85.0,0,552,32,4/11,17.25,6.49,15.9,1,0,5,0,/ci/content/player/26421.html
L Balaji,2012-2012,4,4,12.0,0,88,9,3/19,9.77,7.33,8.0,0,0,0,0,/ci/content/player/26829.html
JJ Bumrah,2016-2021,10,10,38.4,1,248,11,2/10,22.54,6.41,21.0,0,0,0,0,/ci/content/player/625383.html
RD Chahar,2021-2021,1,1,4.0,0,30,0,-,-,7.50,-,0,0,0,0,/ci/content/player/1064812.html
PP Chawla,2010-2012,4,4,12.0,1,82,3,2/13,27.33,6.83,24.0,0,0,2,0,/ci/content/player/32966.html
S Dhawan,2014-2016,7,-,-,-,-,-,-,-,-,-,-,-,3,0,/ci/content/player/28235.html
MS Dhoni,2007-2016,33,-,-,-,-,-,-,-,-,-,-,-,21,11,/ci/content/player/28081.html
AB Dinda,2012-2012,1,1,2.0,0,26,1,1/26,26.00,13.00,12.0,0,0,0,0,/ci/content/player/227712.html
G Gambhir,2007-2012,21,-,-,-,-,-,-,-,-,-,-,-,8,0,/ci/content/player/28763.html
Harbhajan Singh,2007-2012,19,18,69.0,4,468,16,4/12,29.25,6.78,25.8,1,0,6,0,/ci/content/player/29264.html
DJ Hooda,2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,0,0,/ci/content/player/497121.html
Ishan Kishan,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,0,0,/ci/content/player/720471.html
RA Jadeja,2009-2021,22,22,74.0,1,529,21,3/15,25.19,7.14,21.1,0,0,11,0,/ci/content/player/234675.html
Joginder Sharma,2007-2007,4,4,14.3,0,138,4,2/20,34.50,9.51,21.7,0,0,2,0,/ci/content/player/29976.html
KD Karthik,2007-2022,10,-,-,-,-,-,-,-,-,-,-,-,8,2,/ci/content/player/30045.html
Z Khan,2009-2012,12,12,38.4,0,322,12,4/19,26.83,8.32,19.3,1,0,2,0,/ci/content/player/30102.html
V Kohli,2012-2022,27,3,5.4,0,46,2,1/15,23.00,8.11,17.0,0,0,11,0,/ci/content/player/253802.html
B Kumar,2014-2022,13,13,40.4,3,243,8,2/9,30.37,5.97,30.5,0,0,4,0,/ci/content/player/326016.html
P Kumar,2010-2010,2,2,4.0,0,17,2,2/14,8.50,4.25,12.0,0,0,0,0,/ci/content/player/30732.html
A Mishra,2014-2014,6,6,22.0,1,147,10,3/26,14.70,6.68,13.2,0,0,0,0,/ci/content/player/31107.html
Mohammed Shami,2014-2022,14,14,45.5,1,370,14,3/15,26.42,8.07,19.6,0,0,1,0,/ci/content/player/481896.html
